Colony ID,Latitude,Longitude,Chamber temp,Date in Phytotron,Date eggs,Date Larvae,Date Pupae,Date callows,notes,duration egg,duration larva,duration pupa
RC13,36.0364,79.0772,29,7/10/13,7/25/13,,,,,,,
RC14,36.0364,79.0772,29,7/10/13,,,,,,,,
BRP3,35.9264,81.9538,29,7/11/13,7/28/13,,,,,,,
BRP7,35.9264,81.9538,29,7/11/13,7/26/13,,,,,,,
HW3,33.5556,81.7339,29,7/11/13,7/25/13,,,,,,,
FMU2,34.1866,79.6484,29,7/11/13,7/26/13,,,,,,,
BARD5,42.0177,73.9167,29,7/11/13,7/26/13,,,,,,,
Brad5,44.9818,68.5174,29,7/12/13,7/26/13,,,,,,,
KBH2,44.5676,69.9211,29,7/12/13,7/25/13,,,,,,,
NSP2,40.0802,74.91163,29,7/15/13,7/16/13,9/15/13,,,12/08/2013,34.00,,
OldRC2,36.0364,79.0772,29,7/17/13,7/18/13,,,,,,,
LVA3,37.4211,79.1810,29,7/17/13,7/18/13,,,,,,,
LVA1,37.4211,79.1810,29,7/17/13,7/23/13,,,,,,,
YM2,35.7214,78.6897,29,7/17/13,7/18/13,,,,,,,
RC6,36.0364,79.0772,26,7/10/13,7/13/13,,,,,,,
RC9,36.0364,79.0772,26,7/10/13,7/13/13,9/1/13,,,01/08/2013,31.00,,
BRP5,35.9264,81.9538,26,7/11/13,7/13/13,,,,,,,
BRP11,35.9264,81.9538,26,7/11/13,7/13/13,,,,,,,
HW2,33.5556,81.7339,26,7/11/13,7/12/13,,,,,,,
FMU3,34.1866,79.6484,26,7/11/13,7/12/13,,,,,,,
HSP5,41.0218,75.71726,26,7/11/13,7/18/13,,,,,,,
Brad4,44.9818,68.5174,26,7/12/13,7/14/13,,,,,,,
KBH7,44.5676,69.9211,26,7/12/13,7/16/13,,,,,,,
MM6,44.1111,71.1403,26,7/15/13,7/16/13,,,,,,,
OldRC6,36.0364,79.0772,26,7/17/13,7/18/13,9/12/13,,,01/08/2013,42.00,,
OldRC4,36.0364,79.0772,26,7/17/13,7/18/13,,,,,,,
RC?,36.0364,79.0772,26,7/17/13,7/18/13,9/11/13,,,01/08/2013,41.00,,
RC2,36.0364,79.0772,23,7/10/13,7/14/13,8/18/13,9/12/13,28/09/2013,,35.00,25.00,16.00
RC11,36.0364,79.0772,23,7/10/13,7/13/13,,9/22/13,,,,,
BRP1,35.9264,81.9538,23,7/11/13,7/13/13,8/16/13,9/18/13,01/10/2013,,34.00,33.00,13.00
BRP6,35.9264,81.9538,23,7/11/13,7/13/13,8/11/13,9/16/13,,,29.00,36.00,
HW9,33.5556,81.7339,23,7/11/13,7/14/13,8/14/13,9/16/13,,,31.00,33.00,
MagSpr6,32.8789,81.9574,23,7/11/13,7/14/13,8/10/13,9/9/13,25/09/2013,,27.00,30.00,16.00
HSP4,41.0218,75.71726,23,7/11/13,7/13/13,,,,,,,
Brad2,44.9818,68.5174,23,7/12/13,7/14/13,9/1/13,,,,49.00,,
KBH8,44.5676,69.9211,23,7/12/13,7/13/13,8/11/13,9/5/13,20/09/2013,,29.00,25.00,15.00
NSP3,40.0802,74.91163,23,7/15/13,7/16/13,9/2/13,9/24/13,,,48.00,22.00,
LVA13,37.4211,79.1810,23,7/17/13,7/18/13,8/11/13,,,,24.00,,
LVA2,37.4211,79.1810,23,7/17/13,7/22/13,,,,,,,
YM1,35.7214,78.6897,23,7/17/13,7/18/13,9/5/13,,,,49.00,,
HSP1,41.0218,75.71726,23,7/22/13,7/23/13,9/5/13,,,,44.00,,
RC4,36.0364,79.0772,20,7/10/13,7/11/13,9/16/13,,,01/08/2013,46.00,,
RC16,36.0364,79.0772,20,7/10/13,7/13/13,8/21/13,9/20/13,,,39.00,30.00,
BRP8,35.9264,81.9538,20,7/11/13,7/13/13,8/13/13,,,,31.00,,
BRPO10,35.9264,81.9538,20,7/11/13,7/13/13,8/16/13,,,,34.00,,
HW8,33.5556,81.7339,20,7/11/13,7/14/13,,,,,,,
FMU6,34.1866,79.6484,20,7/11/13,7/12/13,9/15/13,,,,65.00,,
BARD11,42.0177,73.9167,20,7/11/13,7/13/13,8/21/13,,,,39.00,,
Brad3,44.9818,68.5174,20,7/12/13,7/15/13,8/16/13,,,,32.00,,
KBH6,44.5676,69.9211,20,7/12/13,7/14/13,8/16/13,,,,33.00,,
NSP7,40.0802,74.91163,20,7/15/13,7/17/13,8/15/13,,,,29.00,,
OldRC1,36.0364,79.0772,20,7/17/13,7/18/13,9/10/13,,,,54.00,,
OldRC7,36.0364,79.0772,20,7/17/13,7/18/13,9/2/13,,,,46.00,,
YM3,35.7214,78.6897,20,7/17/13,7/18/13,9/18/13,,,,62.00,,
